Dataset,Model,Number of Examples,Retrieval Method,Uses CoT,Overall Answer Accuracy,'Basic Restricted' Answer Accuracy,'Basic Unrestricted' Answer Accuracy,'Basis' Answer Accuracy,'Partnership 199A' Answer Accuracy,Overall Percentage of Uncertain Responses
USCODE,davinci,400,few_shot,FALSE,0.1625,0.3,0,0.27,0.08,0.285
USCODE,davinci,400,few_shot,TRUE,0.055,0.09,0.1,0.01,0.02,0.055
USCODE,davinci,400,bypass_retrieval,TRUE,0.02,0.02,0.01,0.04,0.01,0.1425
USCODE,davinci,400,lecture_notes,FALSE,0.1325,0.36,0,0.05,0.12,0.0075
USCODE,davinci,400,lecture_notes,TRUE,0.01,0,0,0,0.04,0.045
USCODE,davinci,400,similarity_search,FALSE,0.0525,0.07,0.01,0.03,0.1,0.0075
USCODE,davinci,400,similarity_search,TRUE,0.0325,0.06,0,0.03,0.04,0
USCODE,davinci,400,gold_truth,FALSE,0.1225,0.31,0,0.06,0.12,0.005
USCODE,davinci,400,gold_truth,TRUE,0.0275,0.05,0,0.01,0.05,0.035
USCODE,davinci,400,bypass_retrieval,FALSE,0.235,0.45,0.13,0.21,0.15,0.925
USCODE,gpt-3.5-turbo,400,similarity_search,FALSE,0.296482412,0.34,0.29,0.272727273,0.282828283,0.037688442
USCODE,gpt-3.5-turbo,400,few_shot,FALSE,0.43,0.38,0.45,0.56,0.33,0.05
USCODE,gpt-3.5-turbo,400,bypass_retrieval,FALSE,0.2875,0.11,0.57,0.3,0.17,0.025
USCODE,gpt-3.5-turbo,400,few_shot,TRUE,0.2875,0.51,0.06,0.34,0.24,0.1175
USCODE,gpt-3.5-turbo,400,bypass_retrieval,TRUE,0.1575,0.16,0.14,0.33,0,0.015
USCODE,gpt-3.5-turbo,400,similarity_search,TRUE,0.235,0.32,0.04,0.35,0.23,0.025
USCODE,gpt-3.5-turbo,400,lecture_notes,TRUE,0.25,0.21,0.13,0.25,0.41,0.0225
USCODE,gpt-3.5-turbo,400,lecture_notes,FALSE,0.235,0.15,0.41,0,0.38,0.12
USCODE,gpt-3.5-turbo,400,gold_truth,FALSE,0.345,0.11,0.55,0.38,0.34,0
USCODE,gpt-3.5-turbo,400,gold_truth,TRUE,0.3325,0.46,0.14,0.66,0.07,0.005
USCODE,gpt-4,400,similarity_search,FALSE,0.37,0.75,0.2,0.25,0.28,0.0075
USCODE,gpt-4,400,few_shot,FALSE,0.535,0.87,0.36,0.58,0.33,0.005
USCODE,gpt-4,400,bypass_retrieval,FALSE,0.395,0.77,0.3,0.26,0.25,0
USCODE,gpt-4,400,few_shot,TRUE,0.435,0.93,0.11,0.41,0.29,0.1
USCODE,gpt-4,400,bypass_retrieval,TRUE,0.3825,0.6,0.23,0.39,0.31,0.15
USCODE,gpt-4,400,lecture_notes,FALSE,0.3525,0.64,0.26,0.29,0.22,0
USCODE,gpt-4,400,lecture_notes,TRUE,0.605,0.74,0.55,0.67,0.46,0.015
USCODE,gpt-4,400,gold_truth,TRUE,0.6375,0.73,0.46,0.95,0.41,0.02
USCODE,gpt-4,400,gold_truth,FALSE,0.4475,0.68,0.36,0.47,0.28,0
USCODE,gpt-4,400,similarity_search,TRUE,0.465,0.69,0.17,0.39,0.61,0.0325
USCODE,text-davinci-002,400,bypass_retrieval,FALSE,0.3625,0.14,0.55,0.48,0.28,0
USCODE,text-davinci-002,400,similarity_search,FALSE,0.3375,0.16,0.54,0.37,0.28,0
USCODE,text-davinci-002,400,few_shot,FALSE,0.4125,0.39,0.45,0.7,0.11,0
USCODE,text-davinci-002,400,few_shot,TRUE,0.1025,0.21,0.02,0.06,0.12,0.0075
USCODE,text-davinci-002,400,bypass_retrieval,TRUE,0.0775,0.07,0.07,0.05,0.12,0.02
USCODE,text-davinci-002,400,lecture_notes,FALSE,0.3375,0.14,0.59,0.35,0.27,0
USCODE,text-davinci-002,400,lecture_notes,TRUE,0.0975,0.05,0.1,0.2,0.04,0.0375
USCODE,text-davinci-002,400,gold_truth,TRUE,0.215,0.29,0.21,0.28,0.08,0.01
USCODE,text-davinci-002,400,gold_truth,FALSE,0.3925,0.13,0.59,0.58,0.27,0
USCODE,text-davinci-002,400,similarity_search,TRUE,0.115,0.1,0.18,0.09,0.09,0.0175
USCODE,gpt-4,400,mega_run,TRUE,0.7125,0.8,0.59,0.99,0.47,0.01